   102  34.2348   70.9690  442.70  -41.654   -0.096
   103  34.3138   70.6227  634.10  -40.333   -0.137
   104  34.3817   70.5466  547.70  -40.185   -0.135
   105  34.4177   70.4748  564.30  -39.999   -0.141
   106  34.4376   70.4400  570.80  -39.841   -0.139
   107  34.5079   70.1670  651.30  -38.464   -0.156
   108  34.5072   70.0345  699.80  -37.159   -0.191
   109  34.5354   69.8276  876.90  -35.520   -0.220
   110  34.5933   69.7546  982.40  -35.083   -0.247
   111  34.5706   69.4022 1773.00  -30.937   -0.413
   112  34.5432   69.2908 1781.50  -30.024   -0.396
   113  35.1564   69.2896 1596.00  -28.714   -0.406
   114  35.1964   69.2885 1668.10  -28.465   -0.395
   115  35.2233   69.3239 1700.70  -28.462   -0.388
   116  35.2465   69.4114 1780.10  -28.378   -0.502
   117  35.2525   69.4500 1838.60  -28.326   -0.544
   118  35.2727   69.4767 1880.70  -28.200   -0.560
   119  35.3117   69.5147 1957.50  -27.923   -0.567
   120  35.4248   69.7273 2157.50  -27.282   -0.698
   121  35.4449   69.7508 2193.60  -27.086   -0.744
   122  35.4851   69.8146 2260.80  -26.944   -0.736
   123  35.6115   69.9884 2550.70  -36.007   -0.793
   124  35.7014   70.1039 2928.10  -31.227   -0.863
   125  35.7395   70.1660 3194.30  -30.976   -0.914
   126  35.7564   70.1804 3400.30  -31.070   -0.960
   127  35.6033   68.6566  854.90  -32.762   -0.198
   128  35.6024   68.5659  922.30  -32.259   -0.221
   129  35.5546   68.3974 1008.40  -30.712   -0.208
   130  35.4834   68.3065 1131.80  -29.931   -0.279
   131  35.3903   68.2233 1262.30  -29.085   -0.325
   132  35.3529   68.1529 1291.20  -28.679   -0.301
   133  35.2885   68.0638 1400.60  -28.062   -0.288
   134  35.2594   67.9955 1463.20  -27.777   -0.343
   135  35.1571   68.0091 1809.50  -26.938   -0.362
   136  35.0444   68.0275 2150.40  -25.946   -0.524
   137  34.9440   68.0124 2236.90  -25.247   -0.513
