9314 34.65290 -105.47390 1867.00 16.8383
9317 34.67920 -105.37500 1918.00 22.2590
9316 34.67430 -105.31170 1924.00 17.3169
9644 34.63060 -107.77990 2359.00 -10.8117
9646 34.64180 -107.67830 2245.00 -10.3773
9587 34.62330 -107.16760 1773.00 18.0722
9546 34.63790 -106.77960 1464.00 -14.3370
9545 34.61790 -106.57060 1605.00 0.7942
9489 34.64140 -106.34280 2089.00 12.5529
9488 34.63780 -106.18330 1907.00 -4.2167
9487 34.63790 -106.06060 1864.00 -15.9065
9403 34.61990 -105.90330 1884.00 -21.0767
9402 34.62700 -105.86000 1872.00 -31.6762
9401 34.62450 -105.69170 1938.00 -15.3279
9400 34.62930 -105.64500 1940.00 0.2947
9399 34.62200 -105.58330 1935.00 11.0313
9311 34.64730 -105.44500 1863.00 19.4691
9310 34.63920 -105.39500 1881.00 20.7534
9309 34.63520 -105.31330 1904.00 13.9415
9307 34.62030 -105.26330 1855.00 15.6460
9308 34.64420 -105.21670 1797.00 16.6335
9638 34.58940 -107.79260 2353.00 -9.9359
9637 34.59690 -107.73730 2311.00 -8.1542
9636 34.58990 -107.70440 2437.00 -10.9596
9641 34.60490 -107.63710 2082.00 -8.3577
9640 34.61240 -107.59890 2056.00 -6.7438
9639 34.60940 -107.53580 2209.00 -4.0921
9586 34.60960 -107.46540 2125.00 -1.5410
9585 34.60930 -107.38740 1875.00 5.1674
9583 34.58580 -107.34710 1905.00 15.6225
9584 34.60860 -107.22160 1827.00 22.6730
9542 34.59430 -106.73640 1489.00 -18.7836
9544 34.60880 -106.69560 1513.00 -18.6672
9543 34.61360 -106.64030 1543.00 -14.3174
9486 34.61640 -106.38560 2259.00 22.4143
9482 34.59810 -106.27810 1990.00 1.3791
9485 34.60890 -106.23590 1944.00 -5.6514
9484 34.60890 -106.18380 1920.00 -5.9842
9483 34.61010 -106.12740 1897.00 -4.1786
9481 34.58960 -106.02310 1856.00 -8.8628
9394 34.59020 -105.97500 1853.00 -7.1073
9398 34.61300 -105.92330 1870.00 -18.2808
9397 34.60730 -105.82500 1924.00 -29.9683
9396 34.60730 -105.78330 1945.00 -26.3889
9393 34.58450 -105.71500 1946.00 -7.4324
9392 34.59270 -105.63330 1953.00 4.4579
9395 34.60730 -105.52830 1916.00 13.5445
9305 34.60730 -105.45170 1861.00 17.9562
9300 34.59660 -105.34160 1910.00 16.5463
9298 34.59100 -105.29170 1856.00 15.1267
9297 34.58530 -105.24500 1832.00 11.8156
9302 34.60080 -105.19330 1817.00 11.9022
9630 34.56360 -107.72480 2334.00 -8.3909
9629 34.55240 -107.67380 2176.00 -8.8813
