       9667   34.80530 -107.73660  2385.00     -1.997
       9665   34.79060 -107.69030  2338.00     -0.138
       9666   34.80060 -107.64330  2230.00     -0.523
       9597   34.78560 -107.45380  1776.00      5.408
       9598   34.81080 -107.02910  1558.00     -3.354
       9563   34.80730 -106.89060  1627.00     -0.437
       9562   34.81340 -106.75830  1508.00     -0.724
       9561   34.80830 -106.73330  1488.00     -0.168
       9560   34.79760 -106.58640  1594.00     -1.008
       9516   34.81040 -106.32880  2294.00      3.017
       9513   34.79730 -106.25290  2049.00      4.913
       9515   34.81210 -106.14810  1919.00     -2.370
       9514   34.81190 -106.07810  1881.00     -3.399
       9435   34.81070 -105.73000  1962.00     -1.406
       9434   34.81220 -105.65500  2067.00     -7.372
       9433   34.81300 -105.61330  2046.00     -3.803
       9432   34.80990 -105.56880  1972.00      5.193
       9431   34.79180 -105.55000  1953.00      3.346
       9344   34.81300 -105.47330  1921.00      0.441
       9343   34.80250 -105.43330  1877.00      0.697
       9663   34.77640 -107.72940  2363.00     -0.878
       9661   34.75810 -107.64190  2231.00     -0.931
       9660   34.75440 -107.58780  2190.00     -0.278
       9662   34.77930 -107.55690  2189.00     -3.279
       9596   34.77460 -107.40260  1775.00      1.305
       9558   34.75990 -106.74540  1473.00     -2.107
       9559   34.78040 -106.54630  1653.00      7.086
       9512   34.78110 -106.38140  2330.00      4.342
       9511   34.78290 -106.23610  2017.00      0.644
       9508   34.75410 -106.14760  1917.00     -2.441
       9510   34.78290 -106.11340  1901.00     -2.085
       9509   34.76830 -106.05360  1863.00     -5.074
       9427   34.76650 -105.98500  1855.00     -4.242
       9426   34.76650 -105.93330  1857.00     -8.087
       9425   34.76650 -105.87830  1867.00     -0.987
       9423   34.76650 -105.82500  1867.00     -2.854
       9422   34.76650 -105.77330  1893.00      2.802
       9429   34.76820 -105.72000  1932.00      2.366
       9428   34.77380 -105.65500  2025.00      3.016
       9421   34.75350 -105.52830  1931.00      5.998
       9341   34.77630 -105.47500  1950.00      3.900
       9334   34.76080 -105.37500  1934.00      0.036
       9333   34.75350 -105.32330  1862.00      0.437
       9339   34.78120 -105.23330  1781.00      3.849
       9658   34.74010 -107.55280  2219.00      0.756
       9594   34.72530 -107.46580  1810.00      4.810
       9593   34.72040 -107.42910  1788.00      4.108
       9595   34.74740 -107.32390  1924.00      0.525
       9557   34.73510 -106.96560  1546.00      1.658
       9553   34.72490 -106.75280  1470.00     -4.025
       9556   34.74460 -106.70290  1481.00      2.293
       9552   34.73330 -106.62890  1540.00     -3.271
       9555   34.73410 -106.60430  1558.00     -0.072
       9554   34.73340 -106.55030  1622.00     10.469
       9506   34.73530 -106.34580  2144.00      4.096
       9501   34.72060 -106.26780  2018.00     -3.493
       9505   34.73940 -106.20080  1944.00     -2.882
       9504   34.73940 -106.16580  1932.00     -1.898
       9503   34.73960 -106.06010  1864.00      0.654
       9502   34.73940 -106.00790  1854.00     -1.634
       9418   34.72330 -105.98330  1855.00     -4.391
       9417   34.72980 -105.93330  1854.00     -6.601
       9416   34.72400 -105.71830  1913.00      1.407
       9420   34.73880 -105.65670  1976.00     -1.717
       9419   34.73970 -105.60000  1974.00     -2.327
       9332   34.73720 -105.47330  1910.00     -1.168
       9327   34.73300 -105.44000  1975.00     -2.723
       9326   34.72170 -105.40000  1997.00     -2.155
       9331   34.73720 -105.26670  1870.00      0.528
       9330   34.73720 -105.21670  1826.00      3.430
       9656   34.71360 -107.72880  2265.00     -0.659
       9655   34.70340 -107.65840  2211.00     -0.495
       9652   34.68410 -107.63180  2214.00     -0.125
       9654   34.70580 -107.57730  2191.00     -0.677
       9591   34.69530 -107.20330  1919.00      0.646
       9592   34.70990 -107.16830  1836.00      5.461
       9590   34.69710 -107.11430  1746.00      3.400
       9551   34.70290 -106.71710  1470.00     -1.237
       9550   34.69440 -106.65930  1525.00     -2.064
       9549   34.69210 -106.51290  1717.00      1.916
       9500   34.70110 -106.40160  2855.00     -0.053
       9498   34.69860 -106.34760  2131.00      6.000
       9499   34.71040 -106.13060  1883.00      3.374
       9415   34.70700 -105.87830  1856.00     -3.575
       9414   34.70950 -105.82500  1866.00     -0.623
       9413   34.70700 -105.65500  1964.00     -1.351
       9412   34.70280 -105.60000  1970.00      0.153
       9411   34.71020 -105.53000  1945.00      1.391
       9322   34.69320 -105.47000  1889.00      0.239
       9321   34.69070 -105.43000  1914.00      1.070
       9324   34.70950 -105.33330  1919.00      1.156
       9323   34.70780 -105.26670  1822.00      2.465
       9320   34.68480 -105.21670  1778.00      1.044
       9651   34.67540 -107.69860  2226.00      0.510
       9650   34.66740 -107.56360  2230.00     -0.690
       9589   34.65240 -107.22160  1876.00      4.691
       9588   34.65240 -107.16690  1812.00      5.703
       9547   34.65290 -106.73610  1468.00     -2.448
       9548   34.66980 -106.60390  1565.00     -4.699
       9497   34.66710 -106.31560  2075.00     -1.207
       9491   34.65240 -106.25330  1961.00     -3.811
       9490   34.65240 -106.23610  1951.00     -4.490
       9495   34.68180 -106.18330  1926.00      1.340
