 9025  32.333701 -106.794114 1191.10 -25.04
 8929  32.363705 -106.751139 1311.66 -24.84
 8734  31.801597 -106.307371 1215.28 -25.12
 8138  32.277326 -106.903204 1317.95 -25.15
 8134  32.400379 -106.342463 1228.21 -24.74
 7830  32.400261 -106.333361 1231.38 -24.72
 6894  34.418258 -106.840219 1446.10 -22.81
 6646  31.769853 -106.412170 1130.41 -25.24
 6645  31.770824 -106.414067 1132.30 -25.22
 5670  32.290967 -106.922211 1354.64 -25.12
 5315  33.682019 -105.852438 1662.00 -21.25
 4121  32.277444 -106.768092 1183.10 -25.05
 3950  32.320302 -106.808210 1188.33 -25.09
 3122  31.891779 -106.596086 1147.41 -24.98
 2999  32.859915 -105.998592 1278.33 -23.35
 2173  32.861724 -107.289695 1276.86 -24.60
 2145  32.400893 -106.361819 1219.70 -24.77
 1347  32.846440 -105.982179 1279.02 -23.24
 1301  33.238461 -107.265489 1467.66 -24.12
  395  32.298887 -106.806102 1186.99 -25.13
