      9025  32.33370 -106.79410  1191.10  -24.8600   -0.9141
      8929  32.36370 -106.75110  1311.70  -24.6610   -0.7341
      8734  31.80160 -106.30740  1215.30  -24.9320   -0.8719
      8138  32.27730 -106.90320  1318.00  -24.9370   -0.9436
      8134  32.40040 -106.34250  1228.20  -24.5530   -0.7851
      7830  32.40030 -106.33340  1231.40  -24.5340   -0.7791
      6894  34.41830 -106.84020  1446.10  -22.5400   -0.8593
      6646  31.76990 -106.41220  1130.40  -25.0590   -0.8960
      6645  31.77080 -106.41410  1132.30  -25.0380   -0.8740
      5670  32.29100 -106.92220  1354.60  -24.9090   -0.9261
      5315  33.68200 -105.85240  1662.00  -20.9170   -0.6413
      4121  32.27740 -106.76810  1183.10  -24.8740   -0.8776
      3950  32.32030 -106.80820  1188.30  -24.9020   -0.9462
      3122  31.89180 -106.59610  1147.40  -24.8300   -0.6328
      2999  32.85990 -105.99860  1278.30  -23.0850   -1.2675
      2173  32.86170 -107.28970  1276.90  -24.3780   -1.0840
      2145  32.40090 -106.36180  1219.70  -24.5800   -0.7865
      1347  32.84640 -105.98220  1279.00  -22.9700   -1.1987
      1301  33.23850 -107.26550  1467.70  -23.8630   -0.9613
       395  32.29890 -106.80610  1187.00  -24.9410   -0.9663
