6695	33.4816	-106.0583	1532	16.6	8.0746
6650	33.4675	-105.785	2321	82.2	-1.728
6648	33.46	-105.7367	2244	74.2	-0.2599
6645	33.4516	-105.6933	2151	74.8	8.5498
6644	33.4633	-105.6749	2196	87.1	14.4308
6643	33.46	-105.5417	2078	78.3	16.5497
6553	33.4767	-105.495	1981	64.4	10.5309
6551	33.4633	-105.34	1710	23.9	-3.2055
6552	33.4823	-105.2033	1707	8.6	-14.8349
6945	33.4471	-107.6749	2061	-0.7	-2.6329
6941	33.4308	-107.5324	1831	3.5	14.4252
6891	33.4304	-107.4878	1651	-19.1	6.8913
6892	33.4451	-107.4088	1814	9.6	7.8498
6775	33.4266	-106.9783	1436	-11.7	3.3746
6774	33.4216	-106.9099	1482	-1	12.9045
6777	33.4399	-106.8099	1444	-1.9	22.8322
6776	33.4483	-106.6866	1468	-1.4	27.2311
6694	33.4449	-106.1449	1421	-1.6	4.3041
6640	33.4299	-105.9883	2172	58.8	-9.7002
6639	33.4199	-105.6583	2188	85.1	13.0018
6637	33.4177	-105.6333	2137	82.7	16.2132
6641	33.4392	-105.585	2144	85.6	19.6233
6549	33.4352	-105.4783	1849	56.2	16.5211
6547	33.4177	-105.4117	1728	40.5	12.424
6546	33.4202	-105.38	1700	36.7	10.5344
6545	33.4317	-105.3083	1654	13.5	-7.6439
6544	33.4277	-105.2067	1776	20.7	-12.3764
6937	33.3974	-107.6671	1963	-8.9	-2.6678
6939	33.4033	-107.5316	1806	6	17.3638
6888	33.3949	-107.4971	1822	4.7	8.5399
6887	33.3933	-107.4499	1597	-26.5	-3.6999
6890	33.4166	-107.3479	1682	0.7	4.455
6886	33.3958	-107.3048	1587	-9.4	-1.3782
6885	33.3879	-107.2688	1512	-22.6	-10.3524
6884	33.3966	-107.0099	1404	-20.1	-3.2468
6773	33.3949	-106.8999	1465	2.2	19.4042
6772	33.3953	-106.6738	1568	7.7	27.9184
6693	33.3899	-106.4066	1415	-6.4	21.6226
6633	33.3933	-105.8033	3350	162.5	-19.3853
6631	33.3933	-105.7716	3053	138.9	-15.3681
6628	33.3924	-105.7216	2319	83	-0.2878
6627	33.3999	-105.6949	2258	83.6	5.1218
6626	33.3958	-105.6699	2217	84.1	8.9401
6542	33.4043	-105.4567	1769	51.6	20.1359
6540	33.4002	-105.32	1635	12.7	-7.9669
6539	33.3885	-105.27	1597	3.8	-13.0827
6538	33.3935	-105.2117	1652	8.8	-12.1694
6932	33.3608	-107.6306	1941	-2.1	1.5735
6935	33.3674	-107.5849	1976	9.2	4.8492
6930	33.3549	-107.5633	1883	16.7	18.745
6881	33.3554	-107.4556	1671	-12.4	-1.2317
6880	33.3533	-107.4216	1637	-19.1	-9.178
6879	33.3503	-107.2853	1523	-14.1	-4.9664
6878	33.3593	-107.1878	1376	-50.5	-30.391
6883	33.3674	-107.1021	1845	25.7	-6.6546
6882	33.3759	-107.0354	1422	-25.8	-12.5591
6771	33.3533	-106.9899	1404	-12.4	5.5422
6770	33.3583	-106.8549	1517	9.3	25.0313
6692	33.3689	-106.3986	1337	-17.7	16.2424
6691	33.3733	-106.2966	1292	-40.8	-13.8337
6690	33.3599	-106.2601	1308	-37.9	-18.6448
6625	33.367	-105.9567	1635	8.4	-9.5248
6624	33.3753	-105.9167	1752	18.5	-8.4588
6622	33.3643	-105.6667	2120	71.2	6.7349
6621	33.3535	-105.5533	1884	61.3	22.2181
6623	33.371	-105.5283	1859	62.6	24.1568
6537	33.3785	-105.4333	2009	78.9	16.9247
6536	33.3678	-105.25	1582	2.7	-14.7262
6535	33.3662	-105.21	1569	0.5	-12.6802
6927	33.3336	-107.7843	2152	26.1	21.536
6926	33.3343	-107.7571	2086	18	19.0212
6925	33.3366	-107.7299	2006	11.3	18.9055
6924	33.3399	-107.6949	1921	3.9	16.8995
6923	33.3366	-107.6616	1863	-11.6	3.3596
6876	33.3258	-107.4916	1729	-1.2	5.7322
6877	33.3403	-107.4728	1723	-3.2	2.973
6875	33.3331	-107.3948	1600	-22.4	-13.3909
6874	33.3316	-107.0583	1513	-5.7	-4.9891
6873	33.3183	-107.0283	1449	-13.3	-3.7029
6872	33.3249	-107.0099	1420	-14.3	0.0839
6769	33.3383	-106.9116	1506	12.8	25.6759
6768	33.3483	-106.7349	1662	21.1	29.8403
6689	33.3399	-106.3933	1293	-28.6	8.3628
6688	33.3173	-106.1151	1355	-33.2	-28.0113
6687	33.3216	-106.0749	1392	-16	-16.463
6686	33.3333	-106	1556	1.4	-11.5556
6619	33.3353	-105.745	2256	74.4	0.6167
6617	33.3303	-105.71	2137	62.2	-1.2422
6616	33.3295	-105.6783	2070	62.1	3.5983
6615	33.3245	-105.6117	1973	66	18.8108
6618	33.3337	-105.5833	1946	66.4	23.1535
6531	33.3428	-105.445	2069	87.8	17.7618
6528	33.3303	-105.2483	1777	23	-18.7534
6920	33.2899	-107.6716	1844	-5.3	12.635
6922	33.3066	-107.6399	1812	-8.3	8.6861
6921	33.3151	-107.5086	1749	0	6.1319
6867	33.2986	-107.4638	1681	-9.4	-3.9121
6865	33.2899	-107.3999	1595	-20.8	-15.3268
6871	33.3049	-107.3549	1550	-27.2	-19.0837
6870	33.3083	-107.3249	1545	-21.6	-15.0633
6869	33.3061	-107.2914	1444	-22.4	-7.8566
6868	33.3099	-107.0878	1897	31.5	-5.997
6864	33.2899	-107.0249	1462	-1.6	6.2399
6767	33.2986	-106.5319	2725	104.8	29.431
6612	33.2916	-105.6633	2102	62.1	0.1012
6613	33.3037	-105.6467	2036	62.5	8.2015
6522	33.3095	-105.4617	2050	82.1	13.8911
6521	33.3028	-105.27	1737	27.5	-12.065
6520	33.2949	-105.1883	1641	6.9	-17.2021
6914	33.2633	-107.6966	1933	10.4	19.668
6918	33.2716	-107.6716	1930	8.3	14.157
6917	33.2699	-107.6116	1756	-4.7	12.4201
6916	33.2816	-107.5816	1723	-2	15.7069
6915	33.2799	-107.5316	1756	5.6	10.8547
6863	33.2733	-107.4703	1667	-8.5	-2.9795
6855	33.2644	-107.4241	1597	-19.3	-13.8872
6862	33.2764	-107.3371	1538	-20.3	-15.2995
6854	33.2564	-107.3051	1504	-12.7	-8.6001
6852	33.2524	-107.2708	1476	-15.9	-11.9176
